Time (ms),Membrane Potential (mV),Intracellular Ca2+ (mM),ATP
507.35073507350734,-27.735595867273,17648294.129123203,0.09090905499358191
507.45074507450744,-27.735595866845447,17648410.062514655,0.09090905490644804
507.55075507550754,-27.735595866386912,17648525.880875535,0.09090905482041434
507.65076507650764,-27.735595865897274,17648641.584311306,0.09090905473548694
507.75077507750774,-27.735595865376414,17648757.172927167,0.09090905465167211
507.85078507850784,-27.735595864824198,17648872.646828122,0.09090905456897604
507.95079507950794,-27.735595864240512,17648988.00611891,0.09090905448740493
508.05080508050804,-27.735595863625225,17649103.250904042,0.09090905440696502
508.15081508150814,-27.73559586297822,17649218.38128781,0.09090905432766253
508.25082508250824,-27.73559586229936,17649333.397374257,0.09090905424950374
508.35083508350834,-27.73559586158853,17649448.2992672,0.09090905417249487
508.45084508450844,-27.735595860845603,17649563.087070215,0.0909090540966422
508.55085508550854,-27.73559586007045,17649677.760886665,0.090909054021952
508.65086508650865,-27.735595859262954,17649792.320819646,0.09090905394843053
508.75087508750875,-27.735595858422982,17649906.76697205,0.09090905387608413
508.85088508850885,-27.73559585755041,17650021.099446524,0.09090905380491905
508.95089508950895,-27.735595856645116,17650135.31834548,0.09090905373494164
509.05090509050905,-27.73559585570697,17650249.4237711,0.09090905366615819
509.15091509150915,-27.735595854735845,17650363.415825333,0.09090905359857504
509.25092509250925,-27.735595853731617,17650477.294609886,0.09090905353219852
509.35093509350935,-27.735595852694157,17650591.06022625,0.090909053467035
509.45094509450945,-27.735595851623344,17650704.712775663,0.09090905340309079
509.55095509550955,-27.73559585051905,17650818.25235914,0.09090905334037232
509.65096509650965,-27.735595849381145,17650931.67907746,0.09090905327888589
509.7509750975097,-27.735595848209506,17651044.993031174,0.09090905321863792
509.8509850985098,-27.735595847004,17651158.194320593,0.09090905315963481
509.9509950995099,-27.735595845764504,17651271.283045795,0.09090905310188296
510.05100510051,-27.735595844490895,17651384.25930662,0.09090905304538875
510.1510151015101,-27.73559584318303,17651497.123202693,0.09090905299015863
510.2510251025102,-27.735595841840798,17651609.874833383,0.09090905293619904
510.3510351035103,-27.735595840464065,17651722.514297843,0.09090905288351638
510.4510451045104,-27.7355958390527,17651835.041694973,0.09090905283211712
510.5510551055105,-27.735595837606574,17651947.457123462,0.09090905278200773
510.6510651065106,-27.735595836125565,17652059.76068175,0.09090905273319463
510.7510751075107,-27.73559583460954,17652171.95246805,0.09090905268568433
510.8510851085108,-27.735595833058373,17652284.032580335,0.09090905263948335
510.9510951095109,-27.735595831471937,17652396.001116358,0.0909090525945981
511.051105110511,-27.73559582985009,17652507.85817362,0.09090905255103512
511.1511151115111,-27.73559582819272,17652619.603849407,0.09090905250880096
511.2511251125112,-27.735595826499686,17652731.238240764,0.09090905246790208
511.3511351135113,-27.73559582477087,17652842.76144449,0.09090905242834504
511.4511451145114,-27.735595823006125,17652954.17355717,0.09090905239013636
511.5511551155115,-27.73559582120534,17653065.47467514,0.09090905235328264
511.6511651165116,-27.735595819368374,17653176.66489452,0.09090905231779038
511.7511751175117,-27.735595817495096,17653287.744311187,0.09090905228366619
511.8511851185118,-27.73559581558538,17653398.71302078,0.09090905225091661
511.9511951195119,-27.73559581363909,17653509.571118698,0.09090905221954823
512.051205120512,-27.735595811656108,17653620.318700127,0.09090905218956767
512.1512151215121,-27.735595809636294,17653730.95586001,0.09090905216098152
512.2512251225122,-27.735595807579514,17653841.482693054,0.09090905213379638
512.3512351235123,-27.73559580548564,17653951.899293732,0.09090905210801888
512.4512451245124,-27.73559580335455,17654062.205756295,0.09090905208365566
512.5512551255125,-27.7355958011861,17654172.40217474,0.09090905206071338
512.6512651265126,-27.735595798980164,17654282.48864285,0.09090905203919863
512.7512751275127,-27.73559579673661,17654392.465254154,0.09090905201911811
512.8512851285128,-27.735595794455303,17654502.332101982,0.09090905200047851
512.9512951295129,-27.73559579213612,17654612.089279387,0.09090905198328644
513.051305130513,-27.73559578977892,17654721.736879215,0.09090905196754864
513.1513151315131,-27.735595787383573,17654831.274994083,0.0909090519532718
513.2513251325132,-27.73559578494995,17654940.703716353,0.09090905194046262
513.3513351335133,-27.735595782477912,17655050.023138177,0.09090905192912778
513.4513451345134,-27.735595779967333,17655159.233351443,0.09090905191927406
513.5513551355135,-27.735595777418077,17655268.334447846,0.09090905191090816
513.6513651365136,-27.735595774830003,17655377.32651881,0.09090905190403681
513.7513751375137,-27.73559577220299,17655486.20965556,0.09090905189866678
513.8513851385138,-27.7355957695369,17655594.983949047,0.09090905189480485
513.9513951395139,-27.735595766831604,17655703.649490025,0.09090905189245774
514.051405140514,-27.73559576408696,17655812.20636899,0.09090905189163227
514.1514151415141,-27.735595761302843,17655920.654676225,0.09090905189233521
514.2514251425142,-27.735595758479107,17656028.99450176,0.09090905189457334
514.3514351435143,-27.73559575561563,17656137.225935407,0.0909090518983535
514.4514451445144,-27.73559575271227,17656245.349066727,0.0909090519036825
514.5514551455145,-27.735595749768898,17656353.363985077,0.09090905191056714
514.6514651465146,-27.73559574678538,17656461.270779543,0.09090905191901426
514.7514751475147,-27.73559574376157,17656569.06953901,0.09090905192903072
514.8514851485148,-27.73559574069735,17656676.760352112,0.09090905194062338
514.9514951495149,-27.735595737592572,17656784.343307253,0.09090905195379904
515.051505150515,-27.735595734447102,17656891.81849259,0.09090905196856464
515.1515151515151,-27.73559573126081,17656999.185996085,0.09090905198492702
515.2515251525152,-27.73559572803355,17657106.445905432,0.09090905200289308
515.3515351535153,-27.735595724765208,17657213.598308094,0.09090905202246972
515.4515451545154,-27.735595721455628,17657320.643291317,0.09090905204366387
515.5515551555155,-27.73559571810468,17657427.580942094,0.0909090520664824
515.6515651565156,-27.735595714712225,17657534.41134721,0.09090905209093225
